subject	pre	post	condition
42016.38304	4.2	4.8	autism
42016.38442	5.6	4.8	autism
42016.38446	6	6	autism
42016.38455	5	5.6	autism
42016.3848	6	6	autism
42016.38519	3.8	4.8	autism
42016.38538	5.2	5.6	autism
42016.38545	5.8	5.8	autism
42016.38646	5.8	5.8	autism
42016.38668	4.4	4.4	autism
42016.38698	4.8	4.4	autism
42016.38709	4	4.6	autism
42016.38729	5	4.8	autism
42016.38799	5.6	6	autism
42016.38815	5.8	5.8	autism
42016.38843	5	6	autism
42016.38861	5.4	5.4	autism
42016.38895	3.3	3.7	autism
42016.38955	5	5.4	autism
42016.38973	5	4.6	autism
42016.39005	4.4	5	autism
42016.39045	5.6	5.8	autism
42016.39265	4.6	4.8	autism
42016.3927	4.8	5.8	autism
42016.39275	5.6	5	autism
42016.39325	2.6	3.2	autism
42016.39365	6	5.8	autism
42016.39375	4.2	4.6	autism
42016.39394	5	5	autism
42016.39434	5.8	5.8	autism
42016.39523	4.8	4.8	autism
42016.39581	5.8	5.8	autism
42016.39647	4.6	4.8	autism
42016.39656	4.4	4.8	autism
42016.39666	5.2	5.6	autism
42016.39686	3.5	4	autism
42016.39716	4.4	3.6	autism
42016.39848	3.8	5	autism
42016.39891	4	5.4	autism
42016.39942	4.6	4.8	autism
42016.4002	3.6	4.6	autism
42016.40163	4.4	4.4	autism
42016.40198	4.8	5	autism
42016.40279	2.8	3	autism
42016.40332	4.8	4.2	autism
42016.40447	5.6	6	autism
42016.40524	3.6	3.4	autism
42016.40566	5.8	5	autism
42016.40602	5.4	5	autism
42016.40618	5.6	5.6	autism
42016.40647	4.6	5	autism
42016.407	5	5.2	autism
42016.40889	5.6	5.6	autism
42016.40902	5.2	5.2	autism
42016.40918	3.6	3.8	autism
42016.41108	6	5.6	autism
42016.41258	6	6	autism
42016.41281	3.6	3.2	autism
42016.41316	6	6	autism
42016.41333	5.8	5.8	autism
42016.41387	5.8	6	autism
42016.41428	6	6	autism
42016.41469	3.6	3.4	autism
42016.41553	4.2	3.8	autism
42016.41554	5.2	4	autism
42016.41641	4	4.6	autism
42016.41688	2.4	2.6	autism
42016.41786	5.8	5.8	autism
42016.41959	5.8	5.8	autism
42016.41984	6	6	autism
42016.42103	5.8	4.8	autism
42016.4262	5.8	4.8	autism
42016.42706	5	4.8	autism
42016.42786	4.4	4.8	autism
42016.42927	4.6	4.6	autism
42016.42942	6	6	autism
42016.42993	4.8	3.8	autism
42016.4313	4.6	4.8	autism
42016.43606	3.8	5.2	autism
42016.43653	2.6	2.6	autism
42016.4367	4.2	4.6	autism
42016.43681	6	6	autism
42016.43706	5	5.2	autism
42016.43788	4.8	4.6	autism
42016.43826	4.6	4.8	autism
42016.43868	4.4	4.6	autism
42016.43936	4.8	5	autism
42016.44036	5.8	4.6	autism
42016.44078	6	5.8	autism
42016.44125	5.6	5.4	autism
42016.44153	5.4	5.4	autism
42016.44178	4.6	5	autism
42016.44179	6	6	autism
